,0,1,2,3
697,ž,a,7712,2
698,ž,b,33,19
699,ž,d,916,8
700,ž,e,5051,3
701,ž,f,5,24
702,ž,g,43,18
703,ž,h,6,23
704,ž,i,13970,1
705,ž,j,66,16
706,ž,k,302,9
707,ž,l,77,15
708,ž,m,196,12
709,ž,n,1151,5
710,ž,o,1102,6
711,ž,p,44,17
712,ž,r,17,21
713,ž,s,100,14
714,ž,t,20,20
715,ž,u,2220,4
716,ž,v,248,10
717,ž,z,3,25
718,ž,ä,8,22
719,ž,õ,236,11
720,ž,ö,3,25
721,ž,ü,1086,7
722,ž,š,2,26
723,ž,ž,187,13
