,p_letter,s_letter,l_count,l_rank
365,g,p,56956.0,10.0
366,g,r,446408.0,5.0
367,g,s,13044.0,14.0
368,g,š,60.0,27.0
369,g,z,1282.0,22.0
370,g,ž,129.0,26.0
371,g,t,7181.0,20.0
372,g,u,293910.0,8.0
373,g,v,8952.0,17.0
374,g,õ,29998.0,11.0
375,g,ä,81989.0,9.0
376,g,ö,7865.0,18.0
377,g,ü,25989.0,12.0
378,v,a,760408.0,1.0
379,v,b,817.0,25.0
380,v,d,28394.0,12.0
381,v,e,616435.0,2.0
382,v,f,1232.0,24.0
383,v,g,5426.0,19.0
384,v,h,139919.0,8.0
385,v,i,393811.0,3.0
386,v,j,449.0,26.0
387,v,k,63114.0,10.0
388,v,l,112054.0,9.0
389,v,m,5232.0,20.0
390,v,n,22184.0,13.0
391,v,o,254094.0,5.0
392,v,p,2034.0,22.0
393,v,r,305705.0,4.0
394,v,s,155677.0,7.0
395,v,š,10155.0,16.0
396,v,z,1538.0,23.0
397,v,ž,321.0,27.0
398,v,t,43369.0,11.0
399,v,u,204165.0,6.0
400,v,v,3115.0,21.0
401,v,õ,9138.0,17.0
402,v,ä,18036.0,14.0
403,v,ö,8758.0,18.0
404,v,ü,11075.0,15.0
405,p,a,352834.0,1.0
406,p,b,1007.0,24.0
407,p,d,5843.0,21.0
408,p,e,246656.0,2.0
409,p,f,764.0,25.0
410,p,g,25423.0,14.0
411,p,h,2181.0,22.0
412,p,i,175910.0,6.0
413,p,j,58483.0,10.0
414,p,k,17958.0,17.0
415,p,l,34269.0,13.0
416,p,m,122213.0,9.0
417,p,n,6494.0,19.0
418,p,o,234335.0,3.0
419,p,p,171180.0,7.0
420,p,r,42818.0,11.0
421,p,s,181999.0,5.0
422,p,š,484.0,26.0
423,p,z,2098.0,23.0
424,p,ž,112.0,27.0
425,p,t,19397.0,15.0
426,p,u,128368.0,8.0
427,p,v,6217.0,20.0
428,p,õ,193381.0,4.0
429,p,ä,18711.0,16.0
430,p,ö,10108.0,18.0
431,p,ü,36817.0,12.0
432,o,a,117748.0,19.0
433,o,b,135440.0,18.0
434,o,d,196242.0,15.0
435,o,e,216874.0,14.0
436,o,f,136622.0,17.0
437,o,g,462180.0,7.0
438,o,h,284061.0,12.0
439,o,i,399883.0,9.0
440,o,j,217477.0,13.0
441,o,k,1746040.0,2.0
442,o,l,620141.0,5.0
443,o,m,316236.0,11.0
444,o,n,343802.0,10.0
445,o,o,2094988.0,1.0
446,o,p,539861.0,6.0
447,o,r,759479.0,4.0
448,o,s,403214.0,8.0
449,o,š,10130.0,23.0
450,o,z,22067.0,21.0
451,o,ž,1941.0,26.0
452,o,t,778831.0,3.0
453,o,u,22817.0,20.0
454,o,v,182395.0,16.0
455,o,õ,3078.0,25.0
456,o,ä,12506.0,22.0
457,o,ö,558.0,27.0
458,o,ü,3304.0,24.0
459,u,a,531892.0,11.0
460,u,b,171867.0,17.0
461,u,d,877591.0,5.0
462,u,e,156347.0,19.0
463,u,f,27394.0,21.0
