0,1,2
i,ä,64
i,æ,2
i,ç,5
i,è,63
i,é,18
i,ë,5
i,ð,10
i,ñ,17
i,ó,57
i,ô,1
i,õ,1004
i,ö,60
i,ø,1
i,ú,9
i,ü,362
i,ā,14
i,ą,6
i,ć,321
i,č,143
i,ē,1
i,ę,32
i,ĝ,3
i,ğ,2
i,ķ,15
i,ļ,6
i,ł,38
i,ń,35
i,ņ,202
i,ň,1
i,ō,4
i,ő,1
i,ř,2
i,ś,2
i,ş,13
i,š,477
i,ţ,2
i,ū,6
i,ŭ,2
i,ų,15
i,ž,175
i,ș,18
i,ț,3
i,ə,2
i,ɾ,1
i,ʻ,1
i,ˈ,1
i,β,1
i,γ,1
i,θ,2
i,в,2
i,д,2
i,и,1
i,й,2
i,л,3
i,н,1
i,о,1
i,т,3
i,ḍ,1
i,ế,2
i,ệ,2
i,ﬁ,4
j,_,1
j,a,252282
j,b,49
j,c,78
j,d,145
j,e,11025
j,f,45
j,g,10
j,h,90
j,i,1705
j,j,134
j,k,204
j,l,45
j,m,690
j,n,953
j,o,22995
j,p,5633
j,q,2
j,r,183
j,s,188
j,t,732
j,u,59703
j,v,32
j,w,5
j,x,4
j,y,69
j,z,23
j,à,4
j,á,86
j,â,1
j,ã,2
j,ä,40307
j,æ,6
j,é,35
j,ë,12
j,ì,2
j,í,29
j,ñ,1
j,ò,1
j,ó,183
j,ô,1
j,õ,14159
j,ö,200
j,ø,68
j,ù,1
j,ú,25
j,ü,1977
j,ā,176
j,ą,5
j,č,9
j,ē,40
j,ė,4
j,ę,18
j,ī,35
j,ł,1
j,ō,8
j,œ,2
j,ś,5
j,š,8
j,ū,48
j,ų,2
j,ż,1
j,ǐ,1
j,ɑ,2
j,ɛ,1
k,_,3
k,a,201131
k,b,124
k,c,59
k,d,197
k,e,88557
k,f,217
k,g,1046
k,h,2420
k,i,81809
k,j,362
k,k,29641
k,l,15674
k,m,6515
k,n,1155
k,o,153974
k,p,975
k,q,4
k,r,26141
k,s,74187
k,t,12893
k,u,154384
k,v,3106
k,w,307
k,x,37
k,y,1024
k,z,16
k,¹,1
k,à,1
k,á,142
k,â,10
k,ä,13753
k,å,10
k,æ,11
k,ç,3
k,è,4
k,é,83
k,ê,4
k,ë,16
k,í,25
k,ò,2
k,ó,128
k,ô,1
k,õ,26346
k,ö,2052
k,ø,29
k,ú,1
k,ü,15457
k,ý,83
k,ā,110
k,ă,1
k,ą,2
k,č,2
k,ē,11
k,ė,4
k,ę,53
k,ī,29
k,ĭ,2
k,ı,13
k,ļ,16
k,ł,13
k,ň,4
k,ō,53
k,ŏ,1
k,ő,26
k,ř,2
k,š,101
k,ū,33
k,ų,1
k,ǎ,2
k,ǒ,2
k,ȟ,1
k,ɔ,1
k,ə,1
k,α,4
k,ω,3
k,ό,23
k,о,1
k,ḗ,2
k,ṛ,1
k,ṣ,2
k,ẻ,1
l,_,8
l,a,133802
l,b,2985
l,c,1051
l,d,36094
l,e,127075
l,f,2671
l,g,26847
l,h,2073
l,i,233325
l,j,34988
l,k,17890
l,l,120755
l,m,35712
l,n,6077
l,o,56335
l,p,1822
l,q,26
l,r,407
l,s,11391
l,t,51989
l,u,45467
l,v,10776
l,w,183
l,x,76
l,y,2146
l,z,465
l,²,1
l,ß,2
l,à,9
l,á,312
l,â,5
l,ã,1
l,ä,24433
l,å,9
l,æ,19
l,ç,6
l,è,35
l,é,602
l,ê,8
l,ë,8
l,ì,5
l,í,169
l,ï,1
l,ò,25
l,ó,204
l,ô,2
l,õ,19913
l,ö,1343
l,ø,28
l,ù,1
l,ú,14
l,ü,5782
l,ý,8
l,þ,1
l,ā,197
l,ă,8
l,ą,6
l,č,10
l,ē,30
l,ĕ,1
l,ė,24
l,ę,7
l,ĝ,3
l,ī,100
l,ĭ,1
l,ı,11
l,ņ,2
l,ō,5
l,ő,2
l,š,399
l,ţ,2
l,ū,29
l,ž,69
l,ư,3
l,ǎ,1
l,ǐ,8
l,ǿ,1
l,ț,3
l,ɔ,1
l,ə,6
l,ʲ,1
l,μ,2
l,τ,2
l,ό,1
l,а,2
l,и,1
l,о,1
l,у,2
l,ы,2
l,э,5
l,ẹ,1
m,_,1
m,a,204293
m,b,17849
m,c,1352
m,d,368
m,e,89089
m,f,412
m,g,499
m,h,186
m,i,150765
m,j,302
m,k,408
m,l,896
m,m,17163
m,n,3469
m,o,34102
m,p,7739
m,q,14
m,r,699
m,s,3272
m,t,831
m,u,51623
m,v,146
m,w,160
m,x,66
m,y,1238
m,z,111
m,²,51
m,³,139
m,à,2
m,á,336
m,â,18
m,ã,9
m,ä,31454
m,å,31
m,æ,4
m,ç,1
m,è,7
m,é,512
m,ê,7
m,ë,11
m,ì,1
m,í,119
m,ò,4
m,ó,142
m,ô,16
m,õ,23906
m,ö,1856
m,ø,44
m,ù,3
m,ú,13
m,û,1
m,ü,5200
m,ý,3
m,ā,224
m,ă,14
m,č,4
m,ē,23
m,ė,27
m,ę,3
m,ě,29
m,ī,29
m,ı,1
m,ł,4
m,ō,9
m,ś,1
m,ş,2
m,š,44
m,ū,46
m,ŭ,2
m,ů,2
m,ű,1
m,ż,6
m,ž,11
m,ǎ,7
m,ǐ,2
m,ǔ,3
m,ǫ,1
m,ț,2
m,ȫ,1
m,ɐ,1
m,ə,18
m,έ,1
m,ω,3
m,ỹ,3
n,_,12
n,a,105048
n,b,1975
n,c,5101
n,d,108533
n,e,138387
n,f,1980
n,g,84518
n,h,1420
n,i,156899
n,j,1270
n,k,10904
n,l,2066
n,m,406
n,n,67192
n,o,33379
n,p,488
n,q,123
n,r,5509
n,s,23836
n,t,35965
n,u,40224
n,v,1221
n,w,184
n,x,186
n,y,1531
n,z,2434
n,²,1
n,³,1
n,à,3
n,á,135
n,â,6
n,ã,2
n,ä,18638
n,å,9
n,æ,24
n,ç,49
n,è,15
n,é,467
n,ê,9
n,ë,23
n,ì,2
n,í,164
n,î,5
n,ò,1
n,ó,39
n,ô,3
n,õ,11881
n,ö,286
n,ø,9
n,ù,1
n,ú,21
n,ü,1864
n,ý,13
n,þ,1
n,ā,117
n,ă,14
n,ą,3
n,ć,1
n,č,55
n,đ,6
n,ē,27
n,ė,34
n,ě,35
n,ģ,1
n,ī,95
n,ı,8
n,ō,16
n,ő,14
n,œ,1
n,ş,12
n,š,161
n,ţ,8
n,ū,26
n,ŭ,1
n,ů,1
n,ų,1
n,ž,37
n,ǐ,1
n,ț,7
n,ə,5
n,ɨ,3
n,ɾ,1
n,ʊ,1
n,ʲ,2
n,ˑ,1
n,ε,2
n,ν,1
n,τ,1
n,φ,1
n,ω,3
n,а,2
n,ḏ,1
n,ẵ,2
n,ộ,1
n,ﬂ,1
o,_,13
o,a,2212
o,b,15213
o,c,2849
o,d,25165
o,e,2076
o,f,12106
o,g,22967
o,h,7597
o,i,3754
o,j,6898
o,k,19133
o,l,124226
o,m,51651
o,n,169528
o,o,61486
o,p,17192
o,q,57
o,r,79020
o,s,55864
o,t,34195
o,u,3627
o,v,15523
o,w,2410
o,x,654
o,y,620
o,z,577
o,ß,67
o,ä,11
o,ç,1
o,è,1
o,ê,1
o,ë,98
o,í,1
o,î,1
o,ï,4
o,ð,1
o,ñ,8
o,ó,1
o,õ,4
o,ö,28
o,ø,1
o,ù,4
o,ú,45
o,û,1
o,ü,154
o,ý,1
o,č,8
o,ğ,18
o,ģ,2
o,ļ,3
o,ľ,1
o,ł,14
o,ń,11
o,ň,1
o,ř,45
o,ś,13
o,ş,5
o,š,113
o,ŭ,20
o,ż,33
o,ž,177
o,ǔ,2
o,ș,7
o,ɾ,1
o,ʐ,2
o,ʻ,2
o,ː,2
o,β,1
o,ν,1
o,π,1
o,в,3
o,л,2
o,с,1
o,т,1
o,₂,2
o,ﬁ,1
p,_,2
p,a,74451
p,b,68
p,c,124
p,d,167
p,e,63353
p,f,379
p,g,36
p,h,6228
p,i,68600
p,j,370
p,k,1480
p,l,12050
p,m,997
p,n,1521
p,o,57677
p,p,15956
p,q,2
p,r,43751
p,s,7599
p,t,9024
p,u,33150
p,v,63
p,w,27
p,x,3009
p,y,645
p,z,31
p,²,1
p,³,1
p,à,2
p,á,99
p,â,3
p,ã,2
p,ä,33655
p,å,37
p,æ,2
p,ç,1
p,è,29
p,é,233
p,ê,8
p,ë,22
p,í,35
p,î,3
p,ó,19
p,ô,3
p,õ,25080
p,ö,2304
p,ø,2
p,ú,23
p,ü,10456
p,ā,49
p,ă,4
p,č,1
p,ē,38
p,ė,33
p,ę,1
p,ī,10
p,ļ,23
p,ľ,1
p,ł,18
p,ō,1
p,ő,1
p,œ,1
p,ř,34
p,š,38
p,ū,24
p,ǎ,5
p,ǔ,1
p,ǟ,4
p,ǧ,1
p,ȭ,1
p,ɑ,1
p,ɒ,1
p,ʁ,1
p,ː,1
p,о,1
p,ё,3
p,ṛ,1
p,염,1
q,_,1
q,a,245
q,b,3
q,c,6
q,d,11
q,e,51
q,f,36
q,h,1
q,i,373
q,j,1
q,k,4
q,l,6
q,m,2
q,n,3
q,o,26
q,p,1
q,q,23
q,r,6
q,s,12
q,t,22
q,u,2821
q,v,89
q,w,17
q,y,1
q,z,2
q,ä,1
q,ê,1
q,ë,4
q,ì,3
q,í,9
q,ā,32
q,ī,11
q,ı,5
q,ū,100
q,ə,3
r,_,5
r,a,117240
r,b,7872
r,c,4399
r,d,27826
r,e,78820
r,f,1506
r,g,38975
r,h,2805
r,i,192689
r,j,30811
r,k,14922
r,l,11747
r,m,20602
r,n,20576
r,o,58483
r,p,3164
r,q,242
r,r,22107
r,s,17139
r,t,41902
r,u,33356
r,v,26447
r,w,1256
